n_train,model,one_step_error,final_error,train_seconds,horizon_0.001AU,horizon_0.01AU,horizon_0.1AU
500,linear,5.274660623330022e-05,1.5418161642622787,0.045426584081724286,0.020779212811865858,0.06487679510170598,0.19601716639803676
500,poly2,3.218006021380399e-05,70.73213798344025,0.013921374920755625,0.02949427023036594,0.09192055498349538,0.27316045356280383
500,forest,0.0012588295734908895,1.182361743786114,0.14252608397509903,0.0048793916679604745,0.042123127961546505,0.343776845914504
500,mlp,0.0002944119373839607,24.78773988453103,2.3819125840673223,0.009520474927504852,0.07843163136413732,0.29219159671972583
2000,linear,5.259897214637147e-05,1.294787674025197,0.002402000012807548,0.021070892928105114,0.0660748675272546,0.20091536110226552
2000,poly2,3.221564720870288e-05,65.96086090278077,0.00343683292157948,0.029991955332637214,0.0946148101167005,0.29590181160079915
2000,forest,0.0011791699563696739,1.4176603632205356,0.2909622499719262,0.004934844316831395,0.06804513893993881,0.3443436204263809
2000,mlp,0.0003929641021785399,20.951672819404585,6.770319208037108,0.008524851372203861,0.08139293780237987,0.34639188396933807
8000,linear,5.274412855935456e-05,1.1679674801057252,0.013920834055170417,0.020729551541415654,0.0648622584047215,0.1975904073576803
8000,poly2,3.24002366486307e-05,12.043535274595865,0.013778749969787896,0.029830580390726988,0.09336469317842452,0.29190528331122045
8000,forest,0.001016880185060471,1.0260537491397979,1.1762292090570554,0.00905883907110688,0.08498454752101532,0.35870133470970994
8000,mlp,0.00014210560311340601,12.74414851282107,10.797078000032343,0.027843573963839244,0.1853452562738555,0.48391836091650986
20000,linear,5.270864730723721e-05,1.1943665843241555,0.007692209095694125,0.020450251660197472,0.06413720674527097,0.19628057513231614
20000,poly2,3.1970613255556383e-05,47.481273943164375,0.007141000009141862,0.02973939264494227,0.09323643190948463,0.291707996916584
20000,forest,0.0009344010005154387,1.2272938994588711,2.686818499932997,0.00618442208268063,0.07263002824246517,0.36582632577600244
20000,mlp,0.00015714895246702712,2.6433213096423613,17.036352874943987,0.019208269755163033,0.1360569836234972,0.544759455887635
44000,linear,5.2597064152104125e-05,1.1732721671269946,0.01945116592105478,0.02066765039292951,0.06481826112993566,0.19825182462612162
44000,poly2,3.203527146894188e-05,46.4599567358262,0.017975333030335605,0.029921810741365476,0.09403954105104324,0.29582588694819434
44000,forest,0.000868514489377444,1.3299290532278172,7.078311917022802,0.005877257511977113,0.0646944127639559,0.374686849972219
44000,mlp,4.2748716916685825e-05,2.622990030113697,110.09634791593999,0.07013790201149124,0.24576105143918536,0.7175655189023015
